id,parcel_id,owner_name,owner_aadhaar,owner_phone,from_date,to_date,transfer_type,deed_number,consideration_amount,remarks
58e7890a-8869-4b58-b5bc-4a5fec5bc646,9d0f8259-b1c0-4142-b9d5-9628b082109d,Sonia Verma,1434-4257-9928,9550455977,1991-07-13,2000-12-16,Sale,DD-2535-323,4776000.0,
b057861a-df8f-4ed2-88e8-333e7e0f555a,9d0f8259-b1c0-4142-b9d5-9628b082109d,Rajesh Gupta,1106-3615-7924,9465341213,2000-12-16,2005-02-19,Inheritance,DD-8359-703,0,
32a75a6e-cd0d-4906-bb6c-0bdb2b0142bf,9d0f8259-b1c0-4142-b9d5-9628b082109d,Dinesh Patil,2674-2519-7224,9203848421,2005-02-19,2015-04-28,Gift,DD-3547-320,5888000.0,
5bd5c32e-4779-4bd4-9989-13b27d6da20a,9d0f8259-b1c0-4142-b9d5-9628b082109d,Suresh Babu Reddy,8527-9785-3045,9506448196,2015-04-28,,Gift,DD-6635-718,5628000.0,
bda0399a-fcd0-47d4-b1a9-68d82c87231f,dcb5b5ef-3502-4e56-bf96-b8f59234b675,Rajesh Gupta,4598-6313-1916,9345938494,1987-05-30,1997-09-21,Court Decree,DD-5010-267,9390000.0,
75cd06a2-1b53-45c2-a8da-ad1096eb987a,dcb5b5ef-3502-4e56-bf96-b8f59234b675,Harish Chandra,6155-4483-9179,9524806516,1997-09-21,1998-06-29,Sale,DD-6168-510,8987000.0,
20d3cd22-750f-4cdd-8b88-773169adad72,dcb5b5ef-3502-4e56-bf96-b8f59234b675,Mohan Das,9830-5304-8019,9726563708,1998-06-29,2014-05-21,Partition,DD-3340-371,8141000.0,
348f1609-2e13-478c-a560-db914f0fb282,dcb5b5ef-3502-4e56-bf96-b8f59234b675,Deepika Mehta,9348-9085-2489,9911514914,2014-05-21,,Partition,DD-6930-324,10168000.0,
f6f4fc64-ea2e-4359-b5f9-325f25e01e6a,63af4242-217d-4e09-a893-f572fe27e97e,Uma Shankar,9317-4258-3504,9501486939,1992-08-21,1997-05-05,Court Decree,DD-2743-991,7392000.0,
1b4d427a-7278-4fc9-a873-0286371eca0c,63af4242-217d-4e09-a893-f572fe27e97e,Sunil Shetty,1009-6310-9005,9120912992,1997-05-05,2007-10-28,Inheritance,DD-9837-897,0,
